Symptom 1,Symptom 2,Symptom 3,Disease,Treatment,Surgery
Chest pain (angina),indigestion or nausea,Dizziness,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Chest pain (angina),Dizziness,indigestion or nausea,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Chest pain (angina),indigestion or nausea,Cold sweats,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Chest pain (angina),Cold sweats,indigestion or nausea,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Chest pain (angina),Dizziness,Cold sweats,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Chest pain (angina),Cold sweats,Dizziness,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
indigestion or nausea,Chest pain (angina),Dizziness,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
indigestion or nausea,Dizziness,Chest pain (angina),coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
indigestion or nausea,Chest pain (angina),Cold sweats,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
indigestion or nausea,Cold sweats,Chest pain (angina),coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
indigestion or nausea,Dizziness,Cold sweats,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
indigestion or nausea,Cold sweats,Dizziness,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Dizziness,Chest pain (angina),indigestion or nausea,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Dizziness,indigestion or nausea,Chest pain (angina),coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Dizziness,Chest pain (angina),Cold sweats,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Dizziness,Cold sweats,Chest pain (angina),coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Dizziness,indigestion or nausea,Cold sweats,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Dizziness,Cold sweats,indigestion or nausea,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Cold sweats,indigestion or nausea,Chest pain (angina),coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Cold sweats,Chest pain (angina),indigestion or nausea,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Cold sweats,Dizziness,Chest pain (angina),coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Cold sweats,Chest pain (angina),Dizziness,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Cold sweats,indigestion or nausea,Dizziness,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Cold sweats,Dizziness,indigestion or nausea,coronary heart disease,"Quitting smoke, exercise, weight loss",Coronary Artery Bypass Grafting (CABG)
Neck pain,instability,overactive reflexes,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
Neck pain,Chest pain (angina),overactive reflexes,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
Neck pain,Chest pain (angina),instability,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
Neck pain,instability,Chest pain (angina),Arrhythmia,Healthy lifestyle changes,Cardiac ablation
Neck pain,overactive reflexes,instability,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
Neck pain,overactive reflexes,Chest pain (angina),Arrhythmia,Healthy lifestyle changes,Cardiac ablation
Chest pain (angina),Neck pain,instability,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
Chest pain (angina),instability,Neck pain,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
Chest pain (angina),Neck pain,overactive reflexes,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
Chest pain (angina),overactive reflexes,Neck pain,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
Chest pain (angina),instability,overactive reflexes,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
Chest pain (angina),overactive reflexes,instability,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
instability,Chest pain (angina),Neck pain,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
instability,Neck pain,Chest pain (angina),Arrhythmia,Healthy lifestyle changes,Cardiac ablation
instability,Chest pain (angina),overactive reflexes,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
instability,overactive reflexes,Chest pain (angina),Arrhythmia,Healthy lifestyle changes,Cardiac ablation
instability,Neck pain,overactive reflexes,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
instability,overactive reflexes,Neck pain,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
overactive reflexes,Chest pain (angina),Neck pain,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
overactive reflexes,Neck pain,Chest pain (angina),Arrhythmia,Healthy lifestyle changes,Cardiac ablation
overactive reflexes,Chest pain (angina),instability,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
